Time,RPM,IdleError,IdlePos(Steps),IdleSwitch,CoolantT(C),MAP(kPa),IgnAdv(deg.),InletT(C),Throttle(V),Battery(V),CoilTime(ms),ClosedLoop,Lambda(mV),FuelTrim(%),IdleBasePos(Steps),Aircon(on/off),F1,F2,FByte1,Fbyte2,RPM_raw,Unknown_Load(?),Ignition_tune(deg.),Idlerpm_tune(rpm),Fuel_tune,Virtual_MAF(g/s),Virtual_fuel(l/h),Virtual_fuel2(l/100km),GPS_Speed(km/h),GPS_Longitude,GPS_Latitude,GPS_Altitude(m),
[19:14:07:818],0,1175,137,16,26,93,4.0,25,0.74,12.20,3137,0,440,100,100,1,35,135,2,0,31593,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.1
[19:14:08:801],0,1175,137,16,26,93,4.0,25,0.74,12.20,3137,0,440,100,100,1,35,135,2,0,31593,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.2
[19:14:09:825],0,1175,137,16,26,93,4.0,25,0.74,12.20,3137,0,440,100,100,1,35,135,2,0,31593,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.2
[19:14:10:782],0,1175,137,16,26,93,4.0,25,0.74,12.20,3137,0,440,100,100,1,35,135,2,0,31593,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.2
[19:14:11:843],0,1175,137,16,26,93,4.0,25,0.74,12.20,3137,0,440,100,100,1,35,135,2,0,31593,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.2
[19:14:12:900],1048,189,130,16,26,61,25.0,25,0.72,11.60,1953,0,440,100,94,1,35,135,2,0,33111,0,0.00,0,134,0.0,0.0,0.0,0.0,55.1917,-118.7774,674.2
[19:14:13:887],1249,23,105,16,26,32,18.0,25,0.64,11.70,1916,0,440,100,94,1,35,135,2,0,32678,0,0.00,0,134,9.5,3.5,0.0,0.0,55.1917,-118.7774,674.2
[19:14:14:858],1117,41,118,16,26,39,19.0,25,0.66,11.70,1917,0,440,100,94,1,35,135,2,0,32737,0,0.00,0,134,5.9,2.2,0.0,0.0,55.1917,-118.7774,674.2
[19:14:15:857],1171,8,118,16,26,38,19.5,25,0.66,11.70,1860,0,440,100,94,1,35,135,2,0,32761,0,0.00,0,134,6.5,2.4,0.0,0.0,55.1917,-118.7774,674.2
[19:14:16:882],1136,41,114,16,26,38,18.5,25,0.64,11.90,1828,0,440,100,94,1,35,135,2,0,32727,0,0.00,0,134,6.6,2.5,0.0,0.0,55.1917,-118.7774,674.3
